time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443300000	0.0229	2.9357	0	0	0	lidar	0	0.0229	2.9357	-0.0118	2.9997	-0.0785	0.9969
1477010444100000	-0.0148092	3.70871	-0.0408437	2.77556e-17	0	lidar	1.03358	-0.015	3.7377	-0.1797	3.7797	-0.3239	0.9461
1477010444900000	-0.312188	4.05888	-0.365616	-0.0821524	-0.0666749	lidar	11.5566	-0.3217	4.4205	-0.5364	4.4935	-0.549	0.8358
1477010445700000	-1.17795	4.54498	-1.04603	-2.11256	-1.3276	lidar	12.9501	-1.2391	4.8626	-1.0593	5.0961	-0.7396	0.673
1477010446500000	-1.66259	5.28591	-1.10829	-0.26695	0.19731	lidar	5.05906	-1.7351	5.367	-1.7157	5.5498	-0.8838	0.4679
1477010447300000	-2.47693	5.78209	-1.55829	-0.396871	0.0569312	lidar	1.10556	-2.5294	5.7977	-2.4643	5.8259	-0.9724	0.2334
1477010448100000	-3.2415	5.82444	-1.50069	-0.0319671	0.240436	lidar	0.135612	-3.239	5.8136	-3.258	5.9073	-0.9999	-0.0157
1477010448900000	-4.13938	5.94726	-1.50937	-0.097049	0.0790291	lidar	0.0715836	-4.1407	5.9556	-4.0471	5.7886	-0.9646	-0.2639
1477010449700000	-4.61039	5.68798	-1.20946	0.346548	0.32517	lidar	0.727622	-4.5856	5.673	-4.7818	5.4775	-0.8686	-0.4955
1477010450500000	-5.46541	5.13106	-1.41902	0.782187	0.433232	lidar	0.269594	-5.4784	5.1165	-5.4161	4.9934	-0.7181	-0.6959
1477010451300000	-5.93091	4.37783	-1.44247	1.18951	0.470539	lidar	0.00789764	-5.9306	4.3749	-5.9101	4.3668	-0.5225	-0.8526
1477010452100000	-6.02765	3.47035	-1.4663	1.65382	0.525518	lidar	0.0126366	-6.0251	3.4678	-6.2327	3.6371	-0.2941	-0.9558
1477010452900000	-6.42799	2.7796	-1.25815	1.268	0.020743	lidar	1.02696	-6.459	2.788	-6.3637	2.85	-0.0471	-0.9989
1477010453700000	-6.29466	2.31055	-0.997813	1.67102	0.270578	lidar	0.624308	-6.2717	2.3304	-6.2949	2.055	0.2028	-0.9792
1477010454500000	-6.08376	1.68444	-1.03662	2.05201	0.372337	lidar	0.0454579	-6.0751	1.6818	-6.0305	1.3022	0.4399	-0.898
1477010455300000	-5.63576	0.635955	-1.44427	1.87853	0.0748288	lidar	1.35952	-5.6293	0.5878	-5.5872	0.6388	0.6494	-0.7604
1477010456100000	-4.7861	-0.0914561	-1.553	2.68751	0.519834	lidar	0.614632	-4.7624	-0.091	-4.9928	0.1064	0.8181	-0.575
1477010456900000	-4.07805	-0.258467	-1.45201	3.14408	0.549638	lidar	0.0764296	-4.0863	-0.2547	-4.2848	-0.2614	0.9354	-0.3535
1477010457700000	-3.30377	-0.628586	-1.31914	2.84653	0.0874219	lidar	0.731296	-3.3064	-0.6551	-3.5075	-0.4416	0.994	-0.1098
1477010458500000	-3.05901	-0.461	-0.871341	3.24501	0.30559	lidar	1.34631	-3.0956	-0.4369	-2.7098	-0.4228	0.99	0.1409
1477010459300000	-1.61901	-0.264739	-1.72932	3.27253	0.142959	lidar	3.58753	-1.5389	-0.2612	-1.9419	-0.2062	0.9239	0.3827
1477010460100000	-1.29597	0.254434	-1.51089	3.9305	0.469043	lidar	0.921204	-1.3232	0.2634	-1.2519	0.1946	0.7997	0.6004
