time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.773251	0.591484	7.2283	-1.27778e-17	0	radar	13.8921	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16563	0.494263	7.23905	-0.00107336	-7.3011e-06	lidar	0.0793727	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.30731	0.542001	5.02308	-0.00451892	-0.000265806	radar	4.58861	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.60448	0.561904	5.04333	-0.00176769	-0.000114885	lidar	0.42561	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84958	0.558685	5.24304	-0.00418042	0.00134938	radar	1.55906	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.13826	0.572801	5.25366	0.00150303	0.0021749	lidar	0.48301	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36072	0.606694	5.1613	0.0370571	0.00819465	radar	2.99543	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.62801	0.62379	5.16565	0.0409833	0.0092813	lidar	0.13827	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89283	0.63553	5.1953	0.0416496	0.0107818	radar	0.108101	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.12383	0.643773	5.16521	0.044902	0.0113378	lidar	0.696632	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.40346	0.600104	5.21555	0.0109626	-0.00966006	radar	2.66673	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70575	0.556024	5.27444	-0.0201877	-0.0327079	lidar	5.07738	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.9865	0.579226	5.31474	-0.00590799	-0.01259	radar	1.70099	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.26171	0.577472	5.32554	-0.00732407	-0.0128575	lidar	0.121532	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.5224	0.59723	5.3018	0.00275545	-0.00157582	radar	0.762419	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71514	0.660177	5.2168	0.0400623	0.0451985	lidar	10.2439	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97029	0.663626	5.18066	0.0361755	0.0332793	radar	1.96971	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27372	0.665506	5.22995	0.0317828	0.0264947	lidar	3.18103	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53152	0.674472	5.243	0.0349064	0.0305388	radar	1.54885	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82702	0.687771	5.27959	0.0376069	0.0336697	lidar	2.00658	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07281	0.638629	5.23563	0.00416914	-0.0234457	radar	4.21386	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33273	0.721145	5.23456	0.0494212	0.0484364	lidar	3.13334	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58563	0.749322	5.21308	0.059729	0.0597087	radar	0.673583	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83688	0.751318	5.20388	0.0550698	0.0479898	lidar	0.238539	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.08499	0.739075	5.15959	0.0409843	0.0215945	radar	3.774	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31148	0.814159	5.1293	0.0787684	0.0756228	lidar	2.90485	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
